;userName;content;step01
3667;Andre 21;Permohonan saya kok ga bisa milih jadwal antrian sama pilih lokasi kantor imigrasi? Stuck di quest ke 7. Udh di update masih ga bisa di klik, apk aneh;permohonan saya kok ga bisa milih jadwal antrian sama pilih lokasi kantor imigrasi stuck di quest ke   udh di update masih ga bisa di klik apk aneh
3668;Maulana Lesmana;saya tidak bisa masuk ke menu pelayanan di perbaiki sistemnya;saya tidak bisa masuk ke menu pelayanan di perbaiki sistemnya
3669;her man;Mantap, tapi belum coba;mantap tapi belum coba
3670;Rengga Angga;Oi benerin tu servernya tolol bngt, itu surat yg mau di download mna ga keluar Gimna mau di tnjukan ke kanim. Benerin laa servernya!!!;oi benerin tu servernya tolol bngt itu surat yg mau di download mna ga keluar gimna mau di tnjukan ke kanim benerin laa servernya
3671;agus rifani;Apk nya tolong diperbaiki lagi, gak bisa download berkas pdf di apk;apk nya tolong diperbaiki lagi gak bisa download berkas pdf di apk
3672;Ibrahim Jeong;Nyusahin aja ga bs diakses error mulu;nyusahin aja ga bs diakses error mulu
3673;DRT;Pilih kantor keimigrasian baiknya di akhir saja, kalaupun di awal harusnya di tampilkan kuota jadwal pelayanan di awal;pilih kantor keimigrasian baiknya di akhir saja kalaupun di awal harusnya di tampilkan kuota jadwal pelayanan di awal
3674;Indry Yani Segil;Sy mau lengkapi data akun sy karna mau buat paspor tapi pemberitahuan request timeout teruss, mohon di perbaharui lagi aplikasinya 🙏;sy mau lengkapi data akun sy karna mau buat paspor tapi pemberitahuan request timeout teruss mohon di perbaharui lagi aplikasinya
3675;Eidy Ginting;Lebih baik pecat adminya klo gini terus;lebih baik pecat adminya klo gini terus
3676;Lukman Mellong;Aplikasi gak bisa diakses Uda 3 hari 🙄🙄🙄;aplikasi gak bisa diakses uda   hari
3677;Aliong Smart;Makin parah app nya, mau download surat pengantar selalu gagal.;makin parah app nya mau download surat pengantar selalu gagal
3678;Vitri Suryati;Knp gak bisa donlot surat pengantar KANIM yah? Error connecting mulu.;knp gak bisa donlot surat pengantar kanim yah error connecting mulu
3679;Ahmat Sarino;Tolong dibenerin kak aplikasinya buat orang emosi eror muluk klok emang ga niat buat aplikasi jangan di buat sekalian;tolong dibenerin kak aplikasinya buat orang emosi eror muluk klok emang ga niat buat aplikasi jangan di buat sekalian
3680;Putra Bongsoe;Berarti emng apk ini gk jelas....sekian banyak koment ngak ada yg merasa puas.....di tmbah lagi mau tanggal kedatangan aja udh 2 mnggu ini full terus ngak pernah dapt tanggal kedatangan.....lebiah baik offline ajalah kalau bukan nya buat mudah malah tambah susah....hapus aja lah apk nya gak guna juga koq;berarti emng apk ini gk jelas sekian banyak koment ngak ada yg merasa puas di tmbah lagi mau tanggal kedatangan aja udh   mnggu ini full terus ngak pernah dapt tanggal kedatangan lebiah baik offline ajalah kalau bukan nya buat mudah malah tambah susah hapus aja lah apk nya gak guna juga koq
3681;Mochammad Farchan Ardiatama;Harusnya developer/BA care lah dengan rating diplaystore, gimana ya, coba sendiri aja dah;harusnya developerba care lah dengan rating diplaystore gimana ya coba sendiri aja dah
3682;Moh Wildan;Aplikasi kontoolll;aplikasi kontoolll
3683;Franz Nebula;Aplikasi cacat. Login error server time out;aplikasi cacat login error server time out
3684;Dini Afrida;Di update kok jadi gk muncul lokasinya pada saat masuk langkah ke 7 gimana nyaa apknya.. awalnya eror truss d update semakin error;di update kok jadi gk muncul lokasinya pada saat masuk langkah ke   gimana nyaa apknya awalnya eror truss update semakin error
3685;tito kurniawan;Erorr time out terus;erorr time out terus
3686;Y shop;"Min.. ini kenapq mau donlod surat pengantar menuju Kanim ga bisa2. "" Connection closed before full grader was received "" begini trus tiap download. Kan sy udh melakukan pembayaran.. tolong dibantu";min ini kenapq mau donlod surat pengantar menuju kanim ga bisa connection closed before full grader was received begini trus tiap download kan sy udh melakukan pembayaran tolong dibantu
3687;Yuli Vitri;Aplikasi nya terpaksa kasih bintang 1 uda nyoba berkali2 gagal trus;aplikasi nya terpaksa kasih bintang   uda nyoba berkali gagal trus
3688;adam ginting;Kode billing nya gk mau muncul;kode billing nya gk mau muncul
3689;Ahmad Sandy Dwiky;Susah banget nih aplikasi.. bikin malu negara aja;susah banget nih aplikasi bikin malu negara aja
3690;Deshinta Mirna Lestari;Ini mau download Surat Pengantarnya aja susah banget;ini mau download surat pengantarnya aja susah banget
3691;Fredy Gunawan;Aplikasi tidak berfungsi.;aplikasi tidak berfungsi
3692;Didy Styo;Hadeh;hadeh
3693;Bhaskara;"Dari ribuan pegawai imigrasi gk ada yang bisa ngehandle masalah apk ini eror atau gmn ya? Malu""in sekali";dari ribuan pegawai imigrasi gk ada yang bisa ngehandle masalah apk ini eror atau gmn ya maluin sekali
3694;Jovincent Kurniawan;Lemot;lemot
3695;Jonathan Manik;Aplikasi Bangke, kalau gak niat gak usah buat aplikasi;aplikasi bangke kalau gak niat gak usah buat aplikasi
3696;ruzli gustanto;Aplikasi apaan ini, error terus;aplikasi apaan ini error terus
3697;audinta azkiya;Aplikasi selalu error...... Ngga bisa daftar akun... Udah pake 2 HP buat daftar tetep aja ada notifikasi email tidak valid... Pake 3 email yang lain juga tetep aja ada notifikasi email tidak valid. aplikasi ini performanya sangat payah... Ato mungkin HP saya yang jelek yah...;aplikasi selalu error ngga bisa daftar akun udah pake   hp buat daftar tetep aja ada notifikasi email tidak valid pake   email yang lain juga tetep aja ada notifikasi email tidak valid aplikasi ini performanya sangat payah ato mungkin hp saya yang jelek yah
3698;zulva tri dianti;Kenapa lama Loading nya trus tiba2 gbs diapa2in dan force close;kenapa lama loading nya trus tiba gbs diapain dan force close
3699;Anton Ibrahim;Aplikasinya sering error request time out, mohon lebih diperhatikan keluhan masyarakat;aplikasinya sering error request time out mohon lebih diperhatikan keluhan masyarakat
3700;gareth damaresh;Ini anggaran servernya kena sunat apa gimana?;ini anggaran servernya kena sunat apa gimana
3701;Kiki Kiki;Aplikasi nya buka membantu malah makin mempersulit tolong di baca saran sama kritiknya yaa;aplikasi nya buka membantu malah makin mempersulit tolong di baca saran sama kritiknya yaa
3702;Nova Kasmadi;Ya tuhan ini aplikasi stengah mati loading truss , mohon di bantu donk pemerintah di perbaiki aplikasinyaa;ya tuhan ini aplikasi stengah mati loading truss mohon di bantu donk pemerintah di perbaiki aplikasinyaa
3703;Elya Rosiana;Sangat jelek. proses lama dan sering tidak muncul kodenya. Kualitas aplikasi sgt buruk;sangat jelek proses lama dan sering tidak muncul kodenya kualitas aplikasi sgt buruk
3704;Indah Faradilla;Ditingkatkan lagi untuk aplikasinya. Sekelas aplikasi permainan saja tidak separah ini loadingnya 🙏🏻;ditingkatkan lagi untuk aplikasinya sekelas aplikasi permainan saja tidak separah ini loadingnya
3705;S Eko;Gk bisa muat data;gk bisa muat data
3706;Ardhy Parama;Aplikasi sucks! Its government. What do you expect?;aplikasi sucks its government what do you
3707;krisna adityanPutra;"Errord teruss abis pilih tanggal muter"" terus .😭";errord teruss abis pilih tanggal muter terus
3708;dijaga bareng;Lemottttttt banget, suruh bikin paspor lewat aplikasi tapi ngga mau improve aplikasinya;lemottttttt banget suruh bikin paspor lewat aplikasi tapi ngga mau improve aplikasinya
3709;Abdullah Kadir;INTANSI NYA ELIT BIKIN APLIKASI BAGUS SULIT. KALO NIAT MAU MEMPERMUDAH MASYARAKAT JANGAN SETENGAH-SETENGAH.;intansi nya elit bikin aplikasi bagus sulit kalo niat mau mempermudah masyarakat jangan setengah setengah
3710;Pertama Belakang;Untuk yang beralamatkan jl. Ketapang raya kok tak tertera ya di menu imigrasi terdekat???;untuk yang beralamatkan jl ketapang raya kok tak tertera ya di menu imigrasi terdekat
3711;Mochammad Iqbal;gini aja terus muter ga kelar kelar aplikasinya ampun deh aahh malah jadi sulit;gini aja terus muter ga kelar kelar aplikasinya ampun deh aahh malah jadi sulit
3712;Arik Agung Setiawan;Aplikasinya lemot pollll;aplikasinya lemot pollll
3713;Eka Hernanto;PELAYANANNYA SANGAT MENGECEWAKAN;pelayanannya sangat mengecewakan
3714;Reza Wardaya;Aplikasinya eror terus mohon untuk dinas terkait lebih ditingkatkan lagi apa guna nya Aplikasi dibuat kalau sering eror terus , Terima kasih semoga kedepannya Aplikasi MPASPOR lebih baik lagi;aplikasinya eror terus mohon untuk dinas terkait lebih ditingkatkan lagi apa guna nya aplikasi dibuat kalau sering eror terus terima kasih semoga kedepannya aplikasi mpaspor lebih baik lagi
3715;Realme 10;Tahun lalu lancar sekali. Kenapa sekarang LEMOT Sekali. Ya Allah kak, bukan mempermudah ini Lo. Seharian g bisa ngisi data;tahun lalu lancar sekali kenapa sekarang lemot sekali ya allah kak bukan mempermudah ini lo seharian bisa ngisi data
3716;Zainal Muchtar;Request time out mulu, yang daftar dikit kaya yang daftar milyaran orang aja, benerin lah;request time out mulu yang daftar dikit kaya yang daftar milyaran orang aja benerin lah
3717;Saifullah Arifin;Ribett;ribett
3718;YOIS PH;"Email aktivasi hanya berlaku 3 menit, sementara tiap verifikasi emailnya masuk lebih dari 5menit padahal jaringan lancar. Alhasil selalu ""kode OTP tidak valid""";email aktivasi hanya berlaku   menit sementara tiap verifikasi emailnya masuk lebih dari  menit padahal jaringan lancar alhasil selalu kode otp tidak valid
3719;Rizal Nur Permadi;Lelet parah, mau reservasi 'request time out' terus;lelet parah mau reservasi request time out terus
3720;Agustinus E.W.;Gk bs2 mau daftar. Error ato gmn ya;gk bs mau daftar error ato gmn ya
3721;Kazuhiro Yuuki;Kelamaan yg ada RTO tross;kelamaan yg ada rto tross
3722;Delly Lucky;Loading lama banget, sedangkan kode OTP hanya berlaku 3mnt. Walhasil harus minta ulang kode OTP.;loading lama banget sedangkan kode otp hanya berlaku  mnt walhasil harus minta ulang kode otp
3723;Mochamad Sahri Ramdoni Amtriana;Ko eror terus bang;ko eror terus bang
3724;Arl Bintang;aplikasi sampah. ngelag mulu server miskin ga mampu dah ni handle aplikasi receh kaya gini ya ampun.;aplikasi sampah ngelag mulu server miskin ga mampu dah ni handle aplikasi receh kaya gini ya ampun
3725;Hamdan Ramadhani;sistem lelet time out terus;sistem lelet time out terus
3726;Kristo Ngay;Tak bisa dibuka.;tak bisa dibuka
3727;Willow Art_isn'ton;Parah, sudah membayar, pas mau di download bukti bayar nga bisa , padahal itu sebagai bukti utk dibawa ke kantor imigrasi. Tolong dong diperhatikan aplikasi M paspor.;parah sudah membayar pas mau di download bukti bayar nga bisa padahal itu sebagai bukti utk dibawa ke kantor imigrasi tolong dong diperhatikan aplikasi paspor
3728;jujuk juwariyah;Sudah daftar online tinggal nunggu tgl Dan mau check lagi timeout.eror Sudah Di ulang login lagi2 sama.tlg lebih baik Di perbaiki lagi aplksnya.;sudah daftar online tinggal nunggu tgl dan mau check lagi timeout eror sudah di ulang login lagi sama tlg lebih baik di perbaiki lagi aplksnya
3729;the Cansalony;Semoga semakin baik melayani pelanggan ya 🙏🇮🇩;semoga semakin baik melayani pelanggan ya
3730;Alexander WS;Kacau benar aplikasinya. Aplikasi pemerintah seharusnya gak seperti ini, banyak masalah dan bugs. Aplikasi dari negara lain aja bisa sampai rating nya 4 bintang keatas. Apapun sampai banyak data yang lost dalam waktu singkat. Pathetic!;kacau benar aplikasinya aplikasi pemerintah seharusnya gak seperti ini banyak masalah dan bugs aplikasi dari negara lain aja bisa sampai rating nya   bintang keatas apapun sampai banyak data yang lost dalam waktu singkat pathetic
3731;Ega Erlangga;"Ini gimana ya? Dtg lsg gak bisa, hrs lewat app tapi app nya rto terus? Gimana mau bikin? Parah.. bukannya mempermudah mlh bikin ribet. Sesuai slogan pemerintah, ""kalo bisa dipersulit knp dibikin mudah?""";ini gimana ya dtg lsg gak bisa hrs lewat app tapi app nya rto terus gimana mau bikin parah bukannya mempermudah mlh bikin ribet sesuai slogan pemerintah kalo bisa dipersulit knp dibikin mudah
3732;Janjita Ibrena Pinem;Seperti tidak terduga kita udah nunggu tanggal yang kosong tiba tiba besok udah penuh selama 2 Minggu di daerah Batam;seperti tidak terduga kita udah nunggu tanggal yang kosong tiba tiba besok udah penuh selama   minggu di daerah batam
3733;Norman Syah;Kok error ajh sih;kok error ajh sih
3734;Sugiharto Markus;Aplikasi ga jelas, sudah bagus aplikasi yg lama malah di ganti aplikasi BODOL an kaya ini;aplikasi ga jelas sudah bagus aplikasi yg lama malah di ganti aplikasi bodol an kaya ini
3735;Sar Wanto;Aplikasiii superrr lola..lemotttt..... Buka kamera aj eror2.....;aplikasiii superrr lola lemotttt buka kamera aj eror
3736;adi firmansyah;masih time out sampe skarang knapa nih? Padahal udah di update;masih time out sampe skarang knapa nih padahal udah di update
3737;M TAUFIK YUDO;Berbagi pengalaman. Bila ada urgensi. Re schedul kehadiran ke imigrasi untuk perpanjangan pasport. Langsung saja konsul ke bagian Yankonmas. Ibu echi sangat helpfull Terima kasih tim Yankonmas imigrasi juanda surabaya;berbagi pengalaman bila ada urgensi re schedul kehadiran ke imigrasi untuk perpanjangan pasport langsung saja konsul ke bagian yankonmas ibu echi sangat helpfull terima kasih tim yankonmas imigrasi juanda surabaya
3738;john yulius;Aplikasi kacau. Sangat tidak profesional mencerminkan budaya pegawai nya;aplikasi kacau sangat tidak profesional mencerminkan budaya pegawai nya
3739;Rio Santara;Entahlah,maksud hati mempermudah yg ada malah mempersulit.ampunlah.;entahlah maksud hati mempermudah yg ada malah mempersulit ampunlah
3740;Ery310 Ery;Luar biasa mempersulit,pakai aplikasi juga ga,bisa.Sesuai moto birokrasi kalo bisa susah kenapa harus di permudah;luar biasa mempersulit pakai aplikasi juga ga bisa sesuai moto birokrasi kalo bisa susah kenapa harus di permudah
3741;Oka Setiawan;sering gangguan;sering gangguan
3742;NZUFANO MPH;Time time time time request kentutttttt;time time time time request kentutttttt
3743;Nur Cahya;Berkali kali coba tapi ternyata gak bsa di pakai Kode billing tidak bsa di buka , jd harus ke mana ? Minimal kirim salinan ke email jd bisa transfer Mana cepet bgt kadaluarsa ny;berkali kali coba tapi ternyata gak bsa di pakai kode billing tidak bsa di buka jd harus ke mana minimal kirim salinan ke email jd bisa transfer mana cepet bgt kadaluarsa ny
3744;etin erli;Ampunnnn daaah aplikasi nya sering error;ampunnnn daaah aplikasi nya sering error
3745;Sandy putra bun;Apk nya error trus gaje;apk nya error trus gaje
3746;Fa Riz;Aplikasi sekalas nasional mau buat paspor malah bikin pusing masak iya pemilihan pengajuan kantor terdekat padahl bnyak tpi malah yg di rekomendasi jauh semau udah gitu sering error lagi;aplikasi sekalas nasional mau buat paspor malah bikin pusing masak iya pemilihan pengajuan kantor terdekat padahl bnyak tpi malah yg di rekomendasi jauh semau udah gitu sering error lagi
3747;MAM Vlog;Ini kenapa gabisa dibuka ya?;ini kenapa gabisa dibuka ya
3748;Asien 123;Tidak jelas, sudah capek2 ke kantor imgrasi proses pasport jakarta kota kantor, setelah surat sudah di lengkapin, katanya harus ada jaminan dr pihak saudara, atau kerabat pemegang pasport apa memang, bikin pasport harus ada yg menjamin, kami WARGA NEGARA INDONESIA JANGAN DI PERSULIT DONG ! KAMI SAH2 AJA JIKA INGIN BIKIN PASPORT SIAPA TAU ADA REZEKI BISA HELLING LUAR, NAH INI MAU BKIN AJA SDH DI PERSULIT , ALASAN HARUS ADA YG MENJAMIN ADA2 AJA TIDAK JELAS;tidak jelas sudah capek ke kantor imgrasi proses pasport jakarta kota kantor setelah surat sudah di lengkapin katanya harus ada jaminan dr pihak saudara atau kerabat pemegang pasport apa memang bikin pasport harus ada yg menjamin kami warga negara indonesia jangan di persulit dong kami sah aja jika ingin bikin pasport siapa tau ada rezeki bisa helling luar nah ini mau bkin aja sdh di persulit alasan harus ada yg menjamin ada aja tidak jelas
3749;Banar Naga;Bagus sangat membantu;bagus sangat membantu
3750;Agus Suroto;Memudahkan masyarakat.;memudahkan masyarakat
3751;alfian siregar;Kenapa aplikasi nya error' padahal saya mau buat paspor. Susah kalau begini;kenapa aplikasi nya error padahal saya mau buat paspor susah kalau begini
3752;Rian;🥱;
3753;Aan Ahmad;Lebih sering error ,, mohon d prbaiki;lebih sering error mohon prbaiki
3754;Agus Setiyanto;Aplikasi ini sangat membantu;aplikasi ini sangat membantu
3755;Kenny Sung;Hallo lemot sekali anda;hallo lemot sekali anda
3756;Lutfia Lutfii;Knpa kok gak bisa d buka..time out terus....pdhl hari ini wawancara k kantor imigrasi. Gimana sih....;knpa kok gak bisa buka time out terus pdhl hari ini wawancara kantor imigrasi gimana sih
3757;Hp Sansung;Ngak ngerti apa tujuannya dibuat aplikasi ini,kita mendftr disini pun sgt dipersulit,bgmna kt bisa mndftr kalo jaringan error terus..Tiap hari sy coba tp jaringan error trus,trus smpai kpan bgni trus.kmrin sy pergi ke imigresien lgsg suruh dftr melalui aplikasi ini,pdhal aplikasi error bgni kpan siap buat paspor.hadehh parah emang bahhhh;ngak ngerti apa tujuannya dibuat aplikasi ini kita mendftr disini pun sgt dipersulit bgmna kt bisa mndftr kalo jaringan error terus tiap hari sy coba tp jaringan error trus trus smpai kpan bgni trus kmrin sy pergi ke imigresien lgsg suruh dftr melalui aplikasi ini pdhal aplikasi error bgni kpan siap buat paspor hadehh parah emang bahhhh
3758;Mochamad Sabeli salam;Ok;ok
3759;Kadek dwi Adnyana;Aplikasi apaan sering eror. Gak jelas;aplikasi apaan sering eror gak jelas
3760;imam muhadi,SE;Mantaab aplikasinya;mantaab aplikasinya
3761;Asep Firmansah;Pelayanan jelek, cuman bisa login awal bulan doang, setelah itu error. Gaktau sistemnya di matikan mungkin agar masyarakat pusing😩;pelayanan jelek cuman bisa login awal bulan doang setelah itu error gaktau sistemnya di matikan mungkin agar masyarakat pusing
3762;liana purnama;Apa masih zaman dipermainan oknum agar bisa lewat calo? Karena tidak ada kuota tersedia dari waktu ke waktu, sebenernya niat atau tidak mempermudah masyarakat sih?;apa masih zaman dipermainan oknum agar bisa lewat calo karena tidak ada kuota tersedia dari waktu ke waktu sebenernya niat atau tidak mempermudah masyarakat sih
3763;Iing ilmana;Susah log in;susah log in
3764;Nasruddin;Aplikasi kentut;aplikasi kentut
3765;ayi adikanyaa;Tidak dapat didownload bukti pendaftaran. Solusi kemana, tidak ada bantuan.;tidak dapat didownload bukti pendaftaran solusi kemana tidak ada bantuan
3766;Abdul Zaelani;perbaikin lagi berandanya, sering banget request time out;perbaikin lagi berandanya sering banget request time out
3767;Folman Pahutar;Sekelas lembaga negara, buat aplikasi sejelek ini,, Gak bisa di pakai Semiskin ini kah negara Indonesia;sekelas lembaga negara buat aplikasi sejelek ini gak bisa di pakai semiskin ini kah negara indonesia
3768;budi gaming;ampassss;ampassss
3769;Endang Junaedi2023;Masa pas mau ngisi tanggal tujuan kedatangan penuh ditanggal ini dan besoknya sampai tiga bulan berikutnya putih semua;masa pas mau ngisi tanggal tujuan kedatangan penuh ditanggal ini dan besoknya sampai tiga bulan berikutnya putih semua
3770;Hardi Yansyah;Tiba tiba gak bisa mau ngecek data saya , padahal tanggal 2 saya udah waktunya ke kantor imigrasi ?;tiba tiba gak bisa mau ngecek data saya padahal tanggal   saya udah waktunya ke kantor imigrasi
3771;Choirun Nisa';Aplikasi gag ada gunanya,;aplikasi gag ada gunanya
3772;NF Rose;ini aplikasi tolong di perbaiki lah... mau daftar doang susah amat buang waktu;ini aplikasi tolong di perbaiki lah mau daftar doang susah amat buang waktu
3773;Kirigaya Kazuto;apk lawak sinyal lancar tapi pending di apk nya padahal cek yt tiktok dll lancar masuk nih apk muter²;apk lawak sinyal lancar tapi pending di apk nya padahal cek yt tiktok dll lancar masuk nih apk muter
3774;Unknown Galery;"baru download, pas dibuka malah ada notif ""ada pembaruan data blablabla"" 🤣🤣 oii ni baru download, trs updatenya kemanaaaa??? kocak amat bikin aplikasi";baru download pas dibuka malah ada notif ada pembaruan data blablabla oii ni baru download trs updatenya kemanaaaa kocak amat bikin aplikasi
3775;Diana Wahyuni;Bikin akun sulitnya minta ampun. Error melulu.;bikin akun sulitnya minta ampun error melulu
3776;Harianto Harianto;Lelet trs aplikasi ini;lelet trs aplikasi ini
3777;Zubir Nahar;Sangat memudah kan;sangat memudah kan
3778;muhamad qurtubi;Eror terus gak bisa download formulir pendaftaran coba di perbaiki agar tidak eror;eror terus gak bisa download formulir pendaftaran coba di perbaiki agar tidak eror
3779;Wahyu Syahrul;Tujuan aplikasinya untuk memudahkan, tapi ini malah sama aja. Tanggal ga keluar, setiap mau cek lokasi imigrasi harus isi data mulu, ga otomatis sekali isi data;tujuan aplikasinya untuk memudahkan tapi ini malah sama aja tanggal ga keluar setiap mau cek lokasi imigrasi harus isi data mulu ga otomatis sekali isi data
3780;Kalam Insa;Di apk sy diminta dtg tanggal 24 April 2023 lalu. Llu sy dtg dan trnyta kantor masi libur. Sy dtg tanggal 26 pas kantor buka. Sy diminta bayar utk mngurusnya atau daftar lagi dan bayar.;di apk sy diminta dtg tanggal <date> lalu llu sy dtg dan trnyta kantor masi libur sy dtg tanggal   pas kantor buka sy diminta bayar utk mngurusnya atau daftar lagi dan bayar
3781;Jony Jonyhadi;Nic aplikasinya gimana sich...saya mau bikin bisa gagal nic nanti gak bisa kasih lihat data yang ud kita daftar...tolonglah jangan bikin saya gagal bikinnya dan rugi walaupun saya tepat waktu ke tempat;nic aplikasinya gimana sich saya mau bikin bisa gagal nic nanti gak bisa kasih lihat data yang ud kita daftar tolonglah jangan bikin saya gagal bikinnya dan rugi walaupun saya tepat waktu ke tempat
3782;Faisal 21;Udah ga aneh tiap aplikasi yg dibuat pemerintahan apapun itu selalu ga bisa muasin cuma aplikasi sampah doang, percuma bayar pajak, udah dikorupsi pula;udah ga aneh tiap aplikasi yg dibuat pemerintahan apapun itu selalu ga bisa muasin cuma aplikasi sampah doang percuma bayar pajak udah dikorupsi pula
3783;Rahmadani Efendi;Aplikasi apaan ini gak bisa dibuka.. timeout request mulu.;aplikasi apaan ini gak bisa dibuka timeout request mulu
3784;halimatus sadyah;Terima kasih. Memudahkan proses;terima kasih memudahkan proses
3785;Nanang 346;Eror;eror
3786;tari tari;Dari kemaren ngak bisa di buka;dari kemaren ngak bisa di buka
3787;Deni Prima Prayoga 03;Ga bisa login 🙂;ga bisa login
3788;Nafa;Banyak bug gk bisa di klik gk bisa milih susah mengunakan aplikasi nya;banyak bug gk bisa di klik gk bisa milih susah mengunakan aplikasi nya
3789;Nancy Loing;Sedih banget aplikasi nya lemot banget. Bukan mempercepat pelayanan malah bikin lama. Bolak balik imigrasi karena m paspor error. Smoga kedepannya bisa lebih baik;sedih banget aplikasi nya lemot banget bukan mempercepat pelayanan malah bikin lama bolak balik imigrasi karena paspor error smoga kedepannya bisa lebih baik
3790;iMLusifer;Mohon segera perbaiki app nya agar lebih memudahkan keperluan saat ingin berkunjung keluar negera;mohon segera perbaiki app nya agar lebih memudahkan keperluan saat ingin berkunjung keluar negera
3791;Firman bahagia;Eror;eror
3792;heryana tan;Aplikasinya parah banget... Bagaimana bisa membantu error terus;aplikasinya parah banget bagaimana bisa membantu error terus
3793;Daiamondeu Azhura;Ini udh diperbaharui knp tidak bisa d pakai yaa? Sma sekali tidak bisa d gunakan. Semua menu eror;ini udh diperbaharui knp tidak bisa pakai yaa sma sekali tidak bisa gunakan semua menu eror
3794;Hapip Nasution;Sangat membantu;sangat membantu
3795;Aleys Ali;Kenapa pilih tanggal kedatangan kosong terus ya?;kenapa pilih tanggal kedatangan kosong terus ya
3796;Firman Syah;Min ini kenapa setiap masukin kode OTP slalu salah padahal yg di email sudah bener;min ini kenapa setiap masukin kode otp slalu salah padahal yg di email sudah bener
3797;Rahmat Febrian Aritonang;Aplikasi nya parah bosku. Bulak balek eror;aplikasi nya parah bosku bulak balek eror
3798;Fitri Zamaria (FITRI ZAMARIA);Error terus tiap mau milih lokasi!!!!;error terus tiap mau milih lokasi
3799;Yunita Sebayang;Kerennnn;kerennnn
3800;Desiana Lie;Gila aplikasi nya lemotttttt bgdd. Mau masukin data smpai udh bayar jg pending lama bgd Kalo blm siap Mending jgn dl d pergunain apk ny makan hati;gila aplikasi nya lemotttttt bgdd mau masukin data smpai udh bayar jg pending lama bgd kalo blm siap mending jgn dl pergunain apk ny makan hati
3801;Karina Nirmala;Bikin emosi error again and again;bikin emosi error again and again
3802;Bayu Aji Pratama;Aplikasi busuk;aplikasi busuk
3803;Muhammad Iqbal;Banyak error nya jd harus ngulang terus, padahal aplikasinya sudah bagus membantu orang-orang lebih mudah daftar cepat tapi sayang harus banyak diperbaharui. Semoga kedepannya lebih bagus dan tidak ada hambatan terus;banyak error nya jd harus ngulang terus padahal aplikasinya sudah bagus membantu orang orang lebih mudah daftar cepat tapi sayang harus banyak diperbaharui semoga kedepannya lebih bagus dan tidak ada hambatan terus
3804;Newbie;Abis di-update malah ga bisa dipake;abis di update malah ga bisa dipake
3805;Andhika Pradipta;Aplikasi sampah, sering error terus, sangat tidak direkomendasikan, bisa sesat pake aplikasi tidak berguna macam ini;aplikasi sampah sering error terus sangat tidak direkomendasikan bisa sesat pake aplikasi tidak berguna macam ini
3806;Firda Fardina;Seharusnya itu setelah pilih kantor imigrasi langsung pilih tanggal kedatangan. Jadi bisa tahu kuotanya sudah penuh atau masih tersisa. Kalau kayak gini kan sudah ribet-ribet ngisi ternyata jadwalnya sudah penuh.;seharusnya itu setelah pilih kantor imigrasi langsung pilih tanggal kedatangan jadi bisa tahu kuotanya sudah penuh atau masih tersisa kalau kayak gini kan sudah ribet ribet ngisi ternyata jadwalnya sudah penuh
3807;Saqila La;𝑴𝒂𝒏𝒕𝒂𝒑;
3808;Robin Zaidan;server nya suka error;server nya suka error
3809;Afny Ivonne Yuliani Komaling;Tolong diperbaiki koneksi jaringan error 905 saya mau download surat pengantar selalu data connection close before full header was received. ( kuota bandwidth habis) 🙏🙏😂😂;tolong diperbaiki koneksi jaringan error   saya mau download surat pengantar selalu data connection close before full header was received kuota bandwidth habis
3810;Indra Priyadana;Mohon petugas nya jangan nanya yang aneh yang mempersulit pembuatan faspor;mohon petugas nya jangan nanya yang aneh yang mempersulit pembuatan faspor
3811;Muhammad Andi;Daftar offline dipersulit alias pake calo! Daftar online dipermudah tapi dengan sistem yg sangat konyol yg bahkan makin tidak membantu ! Oh indonesiaku!!!;daftar offline dipersulit alias pake calo daftar online dipermudah tapi dengan sistem yg sangat konyol yg bahkan makin tidak membantu oh indonesiaku
3812;Deilan Harjanto;ah ini gw pengajuan online bisa aja ... sampe proses pembayaran PNBP .. gada masalah soal aplikasi nya seperti yang di beritakan. Allhamdulillah lancar , bagi kalian yang nunggu nomer Billing nya ... langsung buka Email coba .. stts di permohonannya memang agak lama update nya tp work kok ..perlu bantuan atau tanya tanya DM IG @kang_tabrak;ah ini gw pengajuan online bisa aja sampe proses pembayaran pnbp gada masalah soal aplikasi nya seperti yang di beritakan allhamdulillah lancar bagi kalian yang nunggu nomer billing nya langsung buka email coba stts di permohonannya memang agak lama update nya tp work kok perlu bantuan atau tanya tanya dm ig kang_tabrak
3813;Hendra Adi Pangestu;Ribet banget , masak daftar aja akun google TDK valid terus;ribet banget masak daftar aja akun google tdk valid terus
3814;ELVIANTI S. Pd.,Gr;Aplikasi yg sangat sulit dan sangat lambat;aplikasi yg sangat sulit dan sangat lambat
3815;Seidy Armanda;Saya uda pengajuan pembuatan paspor dan sudah bayar juga. Trus tiba² request time out terus padahal ada berkas yang katanya harus di download. Tolong diperbaiki lagi sistemnya kalau memang apk ini dibuat untuk mempermudah masyarakat;saya uda pengajuan pembuatan paspor dan sudah bayar juga trus tiba request time out terus padahal ada berkas yang katanya harus di download tolong diperbaiki lagi sistemnya kalau memang apk ini dibuat untuk mempermudah masyarakat
